1.000000e-04 4.181069e-03 -1.663036e-03 3.779564e-03 1.588369e-03  -4.951054e-03 -2.116532e-03 3.465600e-03 -1.400222e-03 1.400222e-03 
1.437458e-03 1.247911e+00 -1.085731e-01 6.136617e-01 -1.714385e-01  -1.399681e+00 -5.051026e-01 7.104150e-01 -4.367561e-01 4.367561e-01 
2.774916e-03 4.707906e+00 5.566997e-01 1.290879e+00 -6.766914e-01  -5.206849e+00 -1.847566e+00 2.595103e+00 -2.057919e+00 2.057919e+00 
4.112375e-03 1.044589e+01 2.968360e+00 9.736323e-01 -1.513631e+00  -1.133104e+01 -3.942014e+00 5.531494e+00 -5.238879e+00 5.238879e+00 
5.449833e-03 1.851369e+01 7.699006e+00 -1.020311e+00 -2.656324e+00  -1.961754e+01 -6.678726e+00 9.348752e+00 -1.013088e+01 1.013088e+01 
6.787291e-03 2.895549e+01 1.502004e+01 -5.074737e+00 -4.079108e+00  -2.988483e+01 -9.945244e+00 1.385306e+01 -1.673546e+01 1.673546e+01 
8.124749e-03 4.183309e+01 2.494212e+01 -1.130047e+01 -5.803784e+00  -4.197122e+01 -1.364157e+01 1.884369e+01 -2.493875e+01 2.493875e+01 
9.462207e-03 5.716098e+01 3.737068e+01 -1.969681e+01 -7.824080e+00  -5.568599e+01 -1.767385e+01 2.412515e+01 -3.458910e+01 3.458910e+01 
1.079967e-02 7.489963e+01 5.195517e+01 -3.000003e+01 -1.010332e+01  -7.081425e+01 -2.195560e+01 2.951553e+01 -4.542242e+01 4.542242e+01 
1.213712e-02 9.500227e+01 6.844968e+01 -4.203313e+01 -1.263350e+01  -8.716659e+01 -2.641692e+01 3.485288e+01 -5.724681e+01 5.724681e+01 
1.347458e-02 1.174077e+02 8.642528e+01 -5.542210e+01 -1.542847e+01  -1.045784e+02 -3.100311e+01 3.999734e+01 -6.979735e+01 6.979735e+01 
1.481204e-02 1.420063e+02 1.054433e+02 -6.977748e+01 -1.847658e+01  -1.228762e+02 -3.566626e+01 4.483477e+01 -8.281600e+01 8.281600e+01 
1.614950e-02 1.686544e+02 1.251003e+02 -8.473380e+01 -2.174864e+01  -1.418871e+02 -4.036591e+01 4.927450e+01 -9.607242e+01 9.607242e+01 
1.748696e-02 1.972061e+02 1.450469e+02 -9.997292e+01 -2.524720e+01  -1.614727e+02 -4.507355e+01 5.325309e+01 -1.093769e+02 1.093769e+02 
1.882441e-02 2.275029e+02 1.649973e+02 -1.152290e+02 -2.897556e+01  -1.815144e+02 -4.976860e+01 5.672487e+01 -1.225772e+02 1.225772e+02 
2.016187e-02 2.593643e+02 1.842019e+02 -1.297687e+02 -3.292309e+01  -2.018936e+02 -5.443317e+01 5.966942e+01 -1.352952e+02 1.352952e+02 
2.149933e-02 2.926029e+02 2.027849e+02 -1.437286e+02 -3.707527e+01  -2.225070e+02 -5.905468e+01 6.208163e+01 -1.475922e+02 1.475922e+02 
2.283679e-02 3.270280e+02 2.206974e+02 -1.570734e+02 -4.142918e+01  -2.432679e+02 -6.362387e+01 6.397284e+01 -1.594476e+02 1.594476e+02 
